accept	…を受け入れる
achieve	…を達成する
acquire	…を身につける
add	…を付け加える
advance	前進する／前進，事前
affect	…に影響を与える
agree	同意する，賛成する
allow	…を許可する，…が～するのを許す
appear	現れる，…のように思われる
apply	…を適用する，当てはまる
approach	…に近づく
argue	（感情的に）論じる，…だと主張する
assume	…を当然のことと思う，…を引き受ける
avoid	…を避ける
bear	…を我慢する
beat	…をうち負かす
belong	属する
bite	…を噛む，…を刺す
care	気にかける／注意，関心
catch	…に乗るのに間に合う，…が～しているのを見つける
claim	…が自分のものだと主張する
communicate	意思を伝える，…を伝達する
compare	…を比較する，…をたとえる
consider	…について考える，…を～だと見なす
consume	…を消費する
contact	…と連絡をとる／接触，連絡
contain	…を含む，…が入っている
continue	…を続ける
cost	…を（費用として）必要とさせる／費用
count	重要である，数える
cover	…を覆う，…（の範囲を）カバーする
create	…を作り出す，…を創造する
cross	…を横切る／不機嫌な
decline	…を断る，衰退する／低下，衰退
define	…の意味を明確に述べる
depend	依存する，次第である
describe	…について述べる，…を描写する
destroy	…を破壊する
determine	…を決める
develop	…を発達［発展］させる，発達する
die	死ぬ
disappear	消える
discover	…を発見する
draw	…を引きつける
earn	…を稼ぐ
encourage	…を励ます，…を助長する
enter	…に入る
establish	…を設立する
excite	…を興奮させる
exist	存在する
expect	…を予想する，…を期待する
explain	…を説明する
express	…を表現する
face	…に直面する
fail	失敗する
fear	…を恐れる／恐れ
feed	…に食べ物を与える，…を養う
fire	…を首にする
fit	…に適合する／適した
flow	流れる／流れ
follow	…の後を追う
gain	…を得る／獲得
gather	…を集める，集まる
get	…になる，…を手に入れる
guess	…だと思う，…を推測する／当てずっぽう
hit	…を叩く
hold	…を（一時的に）持っている
hunt	捜し求める
hurt	…を傷つける
imagine	…を想像する
improve	…を改善する
include	…を含む
increase	…を増やす，増える
indicate	…を指し示す
influence	…に影響を及ぼす／影響
insist	要求する，主張する
introduce	…を紹介する，…を導入する
invent	…を発明する
involve	…を含む，…を巻き込む
lay	…を横たえる
lead	…の先頭に立つ，つながる
lie	横たわる，嘘をつく
lose	…を失う，負ける
maintain	…を維持する，…だと主張する
manage	何とかうまくやる，管理を行う
manufacture	製造する
marry	…と結婚する
mean	…を意味する，…を意図する
mention	…について言及する
miss	…が（い）ないのを寂しく思う，…に乗り損なう，ミスする
observe	…を観察する，…を遵守する
offer	…を申し出る／申し出
perform	…を行う，機能する
please	…を喜ばせる
prefer	…をより好む
prepare	準備をする，…に準備をさせる
press	…を押す／マスコミ
prevent	…を妨げる
produce	…を生みだす，…を生産する
program	（実施）計画，プログラム
protect	…を守る
prove	…を証明する，…だと判明する
provide	…を［…に］与える
publish	…を出版する
raise	…を上げる
reach	…に到着する，…に手が届く
realize	…だとわかる，…を実現する
receive	…を受け取る
recognize	…がそれ（その人）だとわかる
reduce	…を減らす
refer	言及する，述べる
reflect	…を反映する，熟考する
refuse	…を拒否する
regard	…を～と見なす
remain	…のままである，残る
remember	…を覚えている，…を思い出す
reply	返答する／返答
represent	…を表す，…を代表する
require	…を必要とする
reveal	…を明らかにする
rise	上がる，昇る
risk	危険，…を危険にさらす
rule	…を統治する／規則，習慣
satisfy	…を満足させる
save	…を省く，…を救う，…を貯蓄する
search	…を捜す／探索，捜索
seat	…を着席させる／席
seek	…を求める
seem	…であるようだ
serve	…の役に立つ，…に仕える
share	…を分かち合う
solve	…を解く
sound	…に聞こえる／音
spend	…を費やす
spread	広がる，…を広げる
stay	…のままである，とどまる
steal	…をこっそり盗む
stick	くっつく，固執する／棒きれ
strike	…を叩く，…に～という印象を与える
struggle	もがき苦しむ
suffer	苦しむ，…を患う
suggest	…を提案する，…を示唆する
support	…を支持［支援］する／支持，支援
suppose	…だと思う，…だと仮定する
surprise	…を驚かせる／驚き
survive	（…を切り抜け）生き残る
tend	…する傾向がある
treat	…を扱う
vary	さまざまである
waste	…を浪費する／浪費，廃棄物
wear	…を身につけている
win	勝つ，…を勝ち取る
wonder	…かなと思う／驚き
worry	…を心配させる／心配
